# First Pass Simulation (Up to date)
# 1833 data points written for 54 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (G),Total velocity (ft/s),Total acceleration (G),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (lb),Propellant mass (lb),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (G),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (K),Air pressure (psi),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
14.391,9226.3,931.19,0.37591,939.77,0.40872,984.75,0.51457,984.75,0.029939,126.7,0.16046,28.61,-80.597,0.99764,0.050391,6.2318e-8,0.019688,2.4884e-4,6.2101,0.57956,22.877,0.059436,56.592,41.586,7.5029,0.87067,27861284,135.25,97.032,1.2561,1.2562,0.72247,0.31512,0.21855,0.011089,0.082926,2.6852e-4,0,0,0,0,3.0691e-5,0.0037496,2,3.1416,81.903,0.044408,NaN,269.87,10.418,1080.4,0.05,0.042306
14.441,9272.9,931.79,0.36744,940.41,0.41911,991.09,0.51991,991.09,0.030056,126.99,0.20159,28.61,-80.597,0.99764,0.014971,6.1877e-8,-0.026437,9.1647e-4,6.2046,0.57406,22.868,0.059419,56.64,41.583,7.5285,0.87139,27846265,135.14,97.032,1.2563,1.2563,0.72237,0.31524,0.21871,0.0032866,0.024523,3.2908e-4,0,0,0,0,-5.5267e-5,0.0037522,2,3.1416,81.832,0.041965,NaN,269.78,10.399,1080.2,0.05,0.042498
14.491,9319.5,932.38,0.35961,941.04,0.43203,997.45,0.52525,997.45,0.030171,127.35,0.23944,28.61,-80.597,0.99763,0.075193,5.6626e-8,-0.010062,1.8003e-4,6.1991,0.56856,22.859,0.059402,56.56,41.581,7.4896,0.87208,2.783e7,135.04,97.026,1.2565,1.2565,0.72228,0.31536,0.21887,0.016575,0.12383,1.7573e-4,0,0,0,0,-7.996e-6,0.0037548,2,3.1416,81.775,0.042459,NaN,269.69,10.38,1080.1,0.05,0.042614
14.541,9366.2,932.96,0.35971,941.67,0.42182,1003.8,0.53061,1003.8,0.030286,127.73,0.22033,28.61,-80.597,0.99763,0.044818,6.5819e-8,0.012351,2.2741e-4,6.1936,0.56307,22.85,0.059385,56.602,41.578,7.5117,0.87283,27815502,134.94,97.029,1.2567,1.2567,0.72218,0.31549,0.21904,0.0098596,0.074356,-3.1643e-4,0,0,0,0,1.2031e-5,0.0037573,2,3.1416,81.781,0.046157,NaN,269.59,10.361,1079.9,0.05,0.042728
14.591,9412.8,933.55,0.36324,942.29,0.40416,1010.2,0.53601,1010.2,0.0304,128.05,0.17719,28.61,-80.597,0.99763,0.023504,6.8314e-8,-0.015915,2.2858e-4,6.1881,0.55761,22.84,0.059368,56.631,41.576,7.5277,0.87357,27800831,134.83,97.033,1.2569,1.2569,0.72208,0.31562,0.21921,0.0051636,0.039054,-2.3372e-5,0,0,0,0,-1.9949e-5,0.0037598,2,3.1416,81.827,0.050145,NaN,269.5,10.342,1079.7,0.05,0.042845
14.641,9459.5,934.14,0.36428,942.91,0.39462,1016.6,0.54146,1016.6,0.030516,128.31,0.15175,28.61,-80.597,0.99762,0.06341,7.4508e-8,1.7741e-4,8.3806e-5,6.1826,0.55214,22.831,0.059351,56.578,41.573,7.5025,0.87431,27785618,134.73,97.034,1.2571,1.2571,0.72198,0.31574,0.21937,0.013968,0.10476,-1.1727e-4,0,0,0,0,0,0.0037623,2,3.1416,81.852,0.050891,NaN,269.41,10.323,1079.5,0.05,0.04296
14.691,9506.2,934.72,0.36002,943.52,0.39593,1023.1,0.54698,1023.1,0.030634,128.56,0.16475,28.61,-80.597,0.99762,0.042788,6.7099e-8,0.019537,1.8022e-4,6.1772,0.54667,22.822,0.059334,56.607,41.57,7.5181,0.87503,2.777e7,134.63,97.03,1.2573,1.2573,0.72188,0.31587,0.21954,0.0094129,0.070299,-1.4334e-4,0,0,0,0,2.9984e-5,0.0037648,2,3.1416,81.822,0.047474,NaN,269.32,10.304,1079.3,0.05,0.043075
14.741,9553,935.3,0.35196,944.14,0.40766,1029.5,0.55254,1029.5,0.030751,128.86,0.2057,28.61,-80.597,0.99761,0.022135,6.9566e-8,-0.023319,3.8891e-4,6.1717,0.54121,22.813,0.059318,56.635,41.568,7.5337,0.87572,27753117,134.52,97.02,1.2575,1.2575,0.72178,0.31599,0.21969,0.004863,0.037093,-1.563e-4,0,0,0,0,-4.2661e-5,0.0037673,2,3.1416,81.756,0.043796,NaN,269.22,10.285,1079.1,0.05,0.04319
14.791,9599.8,935.87,0.34605,944.74,0.41607,1035.9,0.55811,1035.9,0.030868,129.21,0.23101,28.61,-80.597,0.99761,0.062054,6.7746e-8,-0.0076665,1.5328e-4,6.1662,0.53574,22.803,0.059301,56.582,41.565,7.5085,0.87641,27736310,134.42,97.01,1.2576,1.2577,0.72169,0.31611,0.21985,0.01367,0.10291,-1.9359e-4,0,0,0,0,-4.6055e-6,0.0037698,2,3.1416,81.708,0.043627,NaN,269.13,10.267,1078.9,0.05,0.043304
14.841,9646.6,936.42,0.34569,945.35,0.40888,1042.4,0.56369,1042.4,0.030983,129.58,0.21837,28.61,-80.597,0.9976,0.042242,6.9577e-8,0.01143,1.0675e-4,6.1608,0.53027,22.794,0.059284,56.61,41.563,7.5235,0.87711,2.772e7,134.32,97,1.2578,1.2578,0.72159,0.31623,0.22001,0.0092937,0.070041,-1.1297e-4,0,0,0,0,1.0224e-5,0.0037722,2,3.1416,81.716,0.046237,NaN,269.04,10.248,1078.8,0.05,0.0435
14.891,9693.4,936.99,0.34974,945.95,0.39016,1048.9,0.5693,1048.9,0.031098,129.9,0.17294,28.61,-80.597,0.9976,0.029712,6.8223e-8,-0.013964,-7.8663e-6,6.1553,0.52481,22.785,0.059267,56.627,41.56,7.5337,0.87786,27704165,134.22,97,1.258,1.258,0.72149,0.31636,0.22018,0.0065318,0.049104,4.2858e-4,0,0,0,0,-1.524e-5,0.0037747,2,3.1416,81.758,0.049346,NaN,268.95,10.229,1078.6,0.05,0.043615
14.941,9740.3,937.55,0.3502,946.55,0.38283,1055.4,0.57496,1055.4,0.031214,130.16,0.15465,28.61,-80.597,0.99759,0.058218,5.8424e-8,0.0027412,-4.4043e-5,6.1498,0.51936,22.776,0.05925,56.59,41.557,7.5162,0.87856,27687359,134.12,96.992,1.2582,1.2582,0.72139,0.31648,0.22034,0.012823,0.096405,3.2684e-4,0,0,0,0,5.865e-7,0.0037771,2,3.1416,81.775,0.051343,NaN,268.85,10.21,1078.4,0.05,0.04373
14.991,9787.2,938.12,0.34577,947.14,0.386,1061.9,0.58068,1061.9,0.031331,130.42,0.17158,28.61,-80.597,0.99759,0.0315,6.015e-8,0.018948,-3.4807e-5,6.1444,0.51392,22.767,0.059233,56.626,41.555,7.5358,0.87926,2.767e7,134.02,96.978,1.2584,1.2584,0.7213,0.3166,0.2205,0.0069262,0.052639,4.3628e-4,0,0,0,0,2.799e-5,0.0037795,2,3.1416,81.742,0.050109,NaN,268.76,10.191,1078.2,0.05,0.043845
15.041,9834.1,938.67,0.33888,947.73,0.39635,1068.4,0.58645,1068.4,0.031449,130.72,0.20555,28.61,-80.597,0.99759,0.022022,5.9068e-8,-0.020482,-1.0516e-5,6.139,0.50849,22.757,0.059216,56.64,41.552,7.5439,0.87994,27652402,133.92,96.963,1.2586,1.2586,0.7212,0.31672,0.22066,0.0048392,0.036915,2.3483e-6,0,0,0,0,-3.2666e-5,0.0037819,2,3.1416,81.681,0.047389,NaN,268.67,10.172,1078,0.05,0.04396
15.091,9881,939.22,0.33454,948.32,0.39946,1075,0.59225,1075,0.031566,131.06,0.21828,28.61,-80.597,0.99758,0.041661,5.3638e-8,-0.0083531,3.7344e-5,6.1335,0.50305,22.748,0.059199,56.614,41.55,7.5323,0.88066,27637594,133.82,96.962,1.2588,1.2588,0.72111,0.31684,0.22082,0.0091673,0.069391,3.428e-4,0,0,0,0,-5.426e-6,0.0037842,2,3.1416,81.639,0.04535,NaN,268.57,10.154,1077.8,0.05,0.044075
15.141,9928,939.76,0.33485,948.9,0.38846,1081.5,0.59806,1081.5,0.031683,131.4,0.19693,28.61,-80.597,0.99758,0.0073067,5.6377e-8,9.8206e-4,2.9494e-5,6.1281,0.49762,22.739,0.059182,56.661,41.547,7.5573,0.88141,27624424,133.71,96.97,1.259,1.259,0.721,0.31697,0.22099,0.0016042,0.011685,2.5084e-4,0,0,0,0,7.4895e-8,0.0037866,2,3.1416,81.631,0.045684,NaN,268.48,10.136,1077.7,0.05,0.04419
15.191,9975,940.3,0.33412,949.48,0.38255,1088.1,0.60389,1088.1,0.031798,131.71,0.1863,28.61,-80.597,0.99757,0.0093839,5.5817e-8,2.7835e-4,-1.272e-4,6.1227,0.49219,22.73,0.059166,56.659,41.544,7.5575,0.8821,27609213,133.61,96.964,1.2592,1.2592,0.72091,0.31709,0.22115,0.0020606,0.015372,-1.5733e-4,0,0,0,0,6.0093e-9,0.003789,2,3.1416,81.633,0.047927,NaN,268.39,10.117,1077.5,0.05,0.044305
15.241,10022,940.84,0.33204,950.06,0.38074,1094.7,0.60975,1094.7,0.031913,132.01,0.18632,28.61,-80.597,0.99757,0.0090784,5.5149e-8,0.0037708,-1.4885e-4,6.1172,0.48675,22.721,0.059149,56.661,41.542,7.5594,0.88277,27593198,133.51,96.952,1.2593,1.2593,0.72081,0.31721,0.22131,0.0019935,0.015141,-1.7803e-4,0,0,0,0,1.1015e-6,0.0037913,2,3.1416,81.627,0.050046,NaN,268.29,10.099,1077.3,0.05,0.044513
15.291,10069,941.38,0.32921,950.63,0.3811,1101.3,0.61566,1101.3,0.032029,132.31,0.19198,28.61,-80.597,0.99756,2.1757e-4,5.6104e-8,-0.0016977,-0.0051556,6.1118,0.48132,22.712,0.059132,56.673,41.539,7.5671,0.88344,27576903,133.41,96.939,1.2595,1.2595,0.72072,0.31733,0.22146,4.7751e-5,-5.967e-5,3.8632e-4,0,0,0,0,-2.2304e-7,0.0037936,2,3.1416,81.614,0.050389,NaN,268.2,10.081,1077.1,0.05,0.044658
15.341,10116,941.91,0.32622,951.2,0.38272,1108,0.62161,1108,0.032146,132.63,0.20013,28.61,-80.597,0.99756,0.013245,5.7264e-8,-0.0030979,-6.8262e-5,6.1064,0.4759,22.702,0.059115,56.656,41.536,7.56,0.88409,2.756e7,133.32,96.921,1.2597,1.2597,0.72063,0.31744,0.22161,0.0029095,0.0223,2.335e-4,0,0,0,0,-7.4178e-7,0.0037959,2,3.1416,81.6,0.049576,NaN,268.11,10.063,1076.9,0.05,0.044772
15.391,10163,942.43,0.32527,951.76,0.37804,1114.6,0.62761,1114.6,0.032262,132.95,0.19266,28.61,-80.597,0.99755,0.0014739,5.5742e-8,6.9627e-5,-1.319e-5,6.101,0.4705,22.693,0.059098,56.673,41.534,7.5696,0.88477,27544034,133.22,96.91,1.2599,1.2599,0.72054,0.31756,0.22177,3.2354e-4,0.0025933,4.3373e-4,0,0,0,0,0,0.0037982,2,3.1416,81.597,0.048755,NaN,268.01,10.045,1076.7,0.05,0.04489
15.441,10210,942.96,0.32403,952.33,0.37481,1121.2,0.63363,1121.2,0.032379,133.25,0.18838,28.61,-80.596,0.99755,0.0050567,5.5521e-8,8.7907e-4,-1.9978e-5,6.0956,0.46509,22.684,0.059082,56.669,41.531,7.5689,0.88543,27527334,133.12,96.895,1.26,1.26,0.72045,0.31767,0.22192,0.0011103,0.0080499,6.8462e-5,0,0,0,0,5.959e-8,0.0038005,2,3.1416,81.596,0.049009,NaN,267.92,10.027,1076.5,0.05,0.045004
15.491,10258,943.48,0.32394,952.89,0.36709,1127.9,0.63969,1127.9,0.032495,133.54,0.17269,28.61,-80.596,0.99754,0.030228,5.1987e-8,0.0066591,-3.6732e-5,6.0902,0.45969,22.675,0.059065,56.636,41.529,7.5536,0.88616,27512411,133.02,96.893,1.2602,1.2602,0.72035,0.3178,0.22209,0.0066487,0.049856,-6.9675e-5,0,0,0,0,3.415e-6,0.0038028,2,3.1416,81.587,0.049797,NaN,267.83,10.009,1076.4,0.05,0.04512
15.541,10305,944.01,0.31959,953.45,0.37205,1134.6,0.64578,1134.6,0.032611,133.83,0.19047,28.61,-80.596,0.99754,0.0021878,5.525e-8,0.013477,-5.2348e-4,6.0848,0.45429,22.666,0.059048,56.674,41.526,7.5742,0.88681,27495093,132.92,96.873,1.2604,1.2604,0.72026,0.31791,0.22224,4.8032e-4,0.0039749,-2.8625e-4,0,0,0,0,1.3972e-5,0.003805,2,3.1416,81.556,0.050503,NaN,267.73,9.9908,1076.2,0.05,0.045234
15.591,10352,944.52,0.31525,954,0.37768,1141.3,0.65192,1141.3,0.032728,134.16,0.20799,28.61,-80.596,0.99754,0.025312,5.7549e-8,-0.0089217,-5.0807e-5,6.0794,0.44889,22.657,0.059031,56.644,41.523,7.5602,0.88746,27477698,132.82,96.853,1.2606,1.2606,0.72017,0.31803,0.22239,0.0055658,0.041909,4.332e-4,0,0,0,0,-6.1163e-6,0.0038073,2,3.1416,81.522,0.050803,NaN,267.64,9.9727,1076,0.05,0.045411
15.641,10399,945.03,0.31494,954.55,0.37027,1148,0.65809,1148,0.032844,134.48,0.1947,28.61,-80.596,0.99753,0.0037957,5.556e-8,-0.0028762,-1.3837e-5,6.074,0.44349,22.648,0.059015,56.674,41.521,7.5765,0.88818,27462235,132.73,96.848,1.2608,1.2608,0.72007,0.31815,0.22255,8.3348e-4,0.0059956,3.9956e-5,0,0,0,0,-6.3487e-7,0.0038095,2,3.1416,81.507,0.050008,NaN,267.55,9.9545,1075.8,0.05,0.045541
15.691,10446,945.54,0.31405,955.1,0.3659,1154.7,0.6643,1154.7,0.032961,134.79,0.18776,28.61,-80.596,0.99753,0.0073334,5.5561e-8,0.0041964,4.1055e-5,6.0686,0.43809,22.639,0.058998,56.67,41.518,7.5758,0.88886,27445514,132.63,96.834,1.261,1.261,0.71997,0.31827,0.22271,0.0016107,0.011768,4.5953e-4,0,0,0,0,1.3498e-6,0.0038117,2,3.1416,81.498,0.049637,NaN,267.45,9.9364,1075.6,0.05,0.045656
15.741,10494,946.05,0.31205,955.64,0.36536,1161.5,0.67055,1161.5,0.033078,135.09,0.19002,28.61,-80.596,0.99752,0.0038385,5.4806e-8,0.0063271,6.1964e-5,6.0632,0.4327,22.63,0.058981,56.675,41.515,7.5799,0.88951,27428003,132.53,96.814,1.2611,1.2611,0.71988,0.31839,0.22286,8.4293e-4,0.0062358,-4.7705e-4,0,0,0,0,3.065e-6,0.003814,2,3.1416,81.482,0.05028,NaN,267.36,9.9182,1075.4,0.05,0.045771
15.791,10541,946.55,0.30864,956.19,0.3703,1168.3,0.67682,1168.3,0.033194,135.41,0.2046,28.61,-80.596,0.99752,0.019408,5.6406e-8,-0.0038539,5.2032e-5,6.0578,0.42733,22.62,0.058964,56.655,41.513,7.571,0.89013,27408915,132.44,96.783,1.2613,1.2613,0.7198,0.3185,0.223,0.0042666,0.032659,-4.8585e-4,0,0,0,0,-1.136e-6,0.0038162,2,3.1416,81.466,0.050889,NaN,267.27,9.9001,1075.2,0.05,0.045886
15.841,10588,947.05,0.30968,956.73,0.35991,1175,0.68314,1175,0.03331,135.73,0.18341,28.61,-80.596,0.99751,0.014497,5.8709e-8,0.0016636,-1.2254e-5,6.0524,0.42196,22.611,0.058948,56.662,41.51,7.576,0.89084,27392960,132.34,96.776,1.2615,1.2615,0.7197,0.31862,0.22317,0.0031861,0.024389,3.0644e-4,0,0,0,0,2.1142e-7,0.0038183,2,3.1416,81.461,0.051631,NaN,267.17,9.8819,1075.1,0.05,0.046
15.891,10636,947.55,0.30721,957.26,0.3618,1181.8,0.6895,1181.8,0.033427,136.02,0.19111,28.61,-80.596,0.99751,0.0021911,5.88e-8,0.0060194,-2.8585e-4,6.0471,0.41659,22.602,0.058931,56.679,41.507,7.586,0.89147,27374081,132.25,96.746,1.2617,1.2617,0.71961,0.31873,0.22331,4.8116e-4,0.0040002,3.1044e-4,0,0,0,0,2.765e-6,0.0038205,2,3.1416,81.449,0.051916,NaN,267.08,9.8637,1074.9,0.05,0.046115
15.941,10683,948.05,0.3042,957.8,0.36593,1188.6,0.6959,1188.6,0.033544,136.34,0.20339,28.61,-80.596,0.9975,0.017365,5.9445e-8,-0.003115,2.0362e-5,6.0417,0.41122,22.593,0.058915,56.66,41.505,7.5774,0.89208,27354607,132.15,96.713,1.2618,1.2618,0.71952,0.31884,0.22345,0.0038173,0.029385,-2.9372e-4,0,0,0,0,-7.3971e-7,0.0038227,2,3.1416,81.434,0.052894,NaN,266.98,9.8455,1074.7,0.05,0.046229
15.991,10731,948.54,0.30431,958.33,0.3596,1195.5,0.70235,1195.5,0.033662,136.66,0.1916,28.61,-80.596,0.9975,0.001354,6.0818e-8,-4.7952e-4,8.9157e-5,6.0363,0.40585,22.584,0.058898,56.682,41.502,7.59,0.89274,27336825,132.05,96.692,1.262,1.262,0.71943,0.31896,0.22361,2.9735e-4,0.0027444,-3.1722e-4,0,0,0,0,-1.7509e-8,0.0038249,2,3.1416,81.432,0.053426,NaN,266.89,9.8273,1074.5,0.05,0.046392
16.041,10778,949.03,0.3025,958.86,0.36098,1202.3,0.70885,1202.3,0.03378,136.97,0.19699,28.61,-80.596,0.9975,0.0076253,6.0662e-8,6.6816e-4,-8.2264e-5,6.031,0.40048,22.575,0.058881,56.674,41.499,7.5874,0.89334,27316710,131.96,96.654,1.2622,1.2622,0.71935,0.31906,0.22375,0.0016753,0.012238,-3.4396e-4,0,0,0,0,3.396e-8,0.003827,2,3.1416,81.433,0.052199,NaN,266.8,9.809,1074.3,0.05,0.046591
16.091,10825,949.52,0.3036,959.39,0.35193,1209.2,0.71538,1209.2,0.033898,137.28,0.17799,28.61,-80.596,0.99749,0.022485,5.9362e-8,0.0010024,-9.8991e-6,6.0256,0.39511,22.566,0.058865,56.655,41.497,7.5791,0.89402,27299201,131.86,96.637,1.2623,1.2623,0.71925,0.31918,0.22391,0.0049451,0.037556,-3.0966e-4,0,0,0,0,7.6342e-8,0.0038292,2,3.1416,81.435,0.051567,NaN,266.7,9.7908,1074.1,0.05,0.046779
16.141,10873,950.01,0.30112,959.92,0.3547,1216,0.72195,1216,0.034016,137.57,0.18745,28.61,-80.596,0.99749,0.007492,6.0274e-8,0.0076,1.2581e-4,6.0202,0.38976,22.557,0.058848,56.676,41.494,7.5909,0.89464,27279453,131.77,96.603,1.2625,1.2625,0.71917,0.31929,0.22405,0.0016462,0.01256,-4.0607e-4,0,0,0,0,4.3841e-6,0.0038313,2,3.1416,81.421,0.051736,NaN,266.61,9.7726,1073.9,0.05,0.046918
16.191,10920,950.5,0.29936,960.44,0.35409,1222.9,0.72855,1222.9,0.034134,137.87,0.18911,28.61,-80.596,0.99748,0.0053312,6.0713e-8,0.0090678,1.5339e-4,6.0149,0.38441,22.548,0.058831,56.679,41.491,7.594,0.8953,27261155,131.67,96.58,1.2627,1.2627,0.71907,0.31941,0.2242,0.0011713,0.0093722,4.1223e-4,0,0,0,0,6.2339e-6,0.0038335,2,3.1416,81.397,0.051909,NaN,266.51,9.7543,1073.7,0.05,0.047121
16.241,10968,950.98,0.29877,960.97,0.34863,1229.8,0.73519,1229.8,0.034251,138.17,0.17966,28.61,-80.596,0.99748,0.02117,6.2309e-8,0.013562,-6.1427e-5,6.0096,0.37908,22.539,0.058815,56.659,41.489,7.5851,0.89603,27244537,131.58,96.571,1.2629,1.2629,0.71897,0.31954,0.22437,0.0046561,0.034919,2.9131e-4,0,0,0,0,1.3926e-5,0.0038356,2,3.1416,81.366,0.052899,NaN,266.42,9.7361,1073.6,0.05,0.047263
16.291,11016,951.46,0.29399,961.49,0.35766,1236.7,0.74186,1236.7,0.034369,138.48,0.20369,28.61,-80.596,0.99747,0.01612,5.9838e-8,-0.015551,-4.5459e-5,6.0042,0.37374,22.53,0.058798,56.666,41.486,7.5902,0.89665,27224835,131.49,96.538,1.263,1.2631,0.71888,0.31965,0.22452,0.0035445,0.027239,-6.5854e-5,0,0,0,0,-1.8292e-5,0.0038377,2,3.1416,81.321,0.053021,NaN,266.33,9.7178,1073.4,0.05,0.047618
16.341,11063,951.94,0.29121,962,0.36108,1243.7,0.74857,1243.7,0.034487,138.82,0.21349,28.61,-80.596,0.99747,0.030971,5.8057e-8,-0.0063053,1.0603e-5,5.9989,0.3684,22.521,0.058782,56.647,41.483,7.5818,0.8973,27205563,131.39,96.509,1.2632,1.2632,0.71879,0.31976,0.22467,0.0068168,0.051462,1.224e-4,0,0,0,0,-3.0039e-6,0.0038398,2,3.1416,81.289,0.052667,NaN,266.23,9.6995,1073.2,0.05,0.04797
16.391,11111,952.41,0.29342,962.52,0.34739,1250.6,0.75532,1250.6,0.034604,139.14,0.18598,28.61,-80.596,0.99746,0.01304,5.6272e-8,0.0022568,-3.3924e-6,5.9935,0.36306,22.512,0.058765,56.672,41.481,7.5957,0.89803,27188759,131.3,96.499,1.2634,1.2634,0.71869,0.31989,0.22484,0.0028668,0.02143,2.6343e-5,0,0,0,0,3.8435e-7,0.0038419,2,3.1416,81.28,0.052839,NaN,266.14,9.6812,1073,0.05,0.048238
16.441,11158,952.89,0.29363,963.03,0.34093,1257.6,0.76211,1257.6,0.034722,139.43,0.17325,28.61,-80.596,0.99746,0.033661,5.9745e-8,0.011498,-3.2334e-5,5.9882,0.35772,22.503,0.058749,56.645,41.478,7.5835,0.89873,27170937,131.2,96.482,1.2636,1.2636,0.71859,0.32002,0.225,0.0074108,0.055846,2.7555e-4,0,0,0,0,9.9648e-6,0.003844,2,3.1416,81.262,0.05323,NaN,266.04,9.6629,1072.8,0.05,0.048515
16.491,11206,953.36,0.28825,963.54,0.35286,1264.6,0.76893,1264.6,0.034839,139.73,0.20352,28.61,-80.596,0.99745,0.013503,6.1139e-8,-0.016053,-7.903e-5,5.9829,0.35238,22.494,0.058732,56.673,41.475,7.5988,0.89932,2.715e7,131.11,96.439,1.2638,1.2638,0.71851,0.32012,0.22514,0.0029689,0.022392,1.3086e-5,0,0,0,0,-1.9405e-5,0.003846,2,3.1416,81.219,0.053953,NaN,265.95,9.6446,1072.6,0.05,0.048711
16.541,11254,953.82,0.28519,964.05,0.35828,1271.6,0.7758,1271.6,0.034957,140.07,0.21687,28.61,-80.596,0.99745,0.033896,6.3154e-8,-0.0066035,-2.0646e-5,5.9775,0.34706,22.485,0.058716,56.646,41.472,7.5867,0.89995,2.713e7,131.02,96.404,1.2639,1.2639,0.71842,0.32023,0.22529,0.0074632,0.05672,4.0582e-4,0,0,0,0,-3.28e-6,0.0038481,2,3.1416,81.185,0.054079,NaN,265.85,9.6263,1072.4,0.05,0.04891
16.591,11301,954.28,0.28729,964.56,0.34807,1278.6,0.78271,1278.6,0.035075,140.41,0.19652,28.61,-80.596,0.99745,0.0013384,6.3473e-8,3.3355e-4,-3.891e-5,5.9722,0.34174,22.476,0.058699,56.691,41.47,7.6105,0.90064,27111056,130.93,96.371,1.264,1.264,0.71817,0.32036,0.22545,2.9405e-4,0.0023788,3.3345e-4,0,0,0,0,8.3586e-9,0.0038502,2,3.1416,81.178,0.053557,NaN,265.76,9.608,1072.2,0.05,0.049156
16.641,11349,954.75,0.28965,965.06,0.33796,1285.6,0.78967,1285.6,0.035193,140.7,0.17413,28.61,-80.596,0.99744,0.034429,6.1007e-8,0.0059288,3.6015e-5,5.9669,0.33644,22.467,0.058683,56.647,41.467,7.5898,0.90134,27092778,130.84,96.339,1.264,1.264,0.7179,0.32048,0.22561,0.0075814,0.0577,2.2904e-4,0,0,0,0,2.6377e-6,0.0038522,2,3.1416,81.173,0.052994,NaN,265.66,9.5897,1072.1,0.05,0.049371
16.691,11397,955.22,0.2871,965.57,0.34283,1292.6,0.79665,1292.6,0.035311,140.99,0.18738,28.61,-80.596,0.99744,0.014281,5.828e-8,0.015671,1.0828e-4,5.9616,0.33113,22.458,0.058666,56.675,41.464,7.6051,0.90197,27072300,130.74,96.291,1.264,1.264,0.71766,0.32059,0.22576,0.0031407,0.02423,2.9355e-4,0,0,0,0,1.8409e-5,0.0038543,2,3.1416,81.14,0.053126,NaN,265.57,9.5713,1071.9,0.05,0.049601
16.741,11445,955.68,0.28314,966.07,0.35252,1299.7,0.80367,1299.7,0.035429,141.31,0.21001,28.61,-80.596,0.99743,0.020426,5.8844e-8,-0.014382,7.5666e-5,5.9563,0.32582,22.449,0.05865,56.667,41.462,7.6027,0.90259,27051437,130.65,96.241,1.264,1.264,0.71742,0.3207,0.22591,0.004494,0.034621,-4.4279e-4,0,0,0,0,-1.549e-5,0.0038563,2,3.1416,81.095,0.054052,NaN,265.48,9.553,1071.7,0.05,0.049816
16.791,11493,956.14,0.28091,966.58,0.35774,1306.8,0.81073,1306.8,0.035547,141.66,0.22152,28.61,-80.596,0.99743,0.037939,5.9165e-8,-0.0036297,5.5223e-5,5.951,0.32051,22.44,0.058633,56.644,41.459,7.5926,0.9032,27030738,130.56,96.19,1.2641,1.2641,0.71719,0.32081,0.22605,0.0083572,0.063396,-4.8981e-4,0,0,0,0,-9.8555e-7,0.0038584,2,3.1416,81.068,0.055875,NaN,265.38,9.5348,1071.5,0.05,0.050014
16.841,11540,956.59,0.28221,967.08,0.35083,1313.9,0.81785,1313.9,0.035665,142.01,0.20842,28.61,-80.596,0.99742,0.017422,5.906e-8,0.0067111,1.0271e-4,5.9457,0.3152,22.431,0.058617,56.672,41.456,7.6081,0.90383,27012401,130.47,96.149,1.2641,1.2641,0.71695,0.32093,0.2262,0.0038327,0.028771,2.7537e-4,0,0,0,0,3.3658e-6,0.0038605,2,3.1416,81.074,0.05663,NaN,265.29,9.5174,1071.3,0.05,0.05021
16.891,11588,957.05,0.28426,967.58,0.34309,1321,0.82502,1321,0.035785,142.33,0.19212,28.61,-80.596,0.99742,0.0077173,5.9736e-8,-0.0080477,1.7396e-4,5.9404,0.30989,22.422,0.0586,56.686,41.454,7.6164,0.90443,26993156,130.38,96.102,1.2641,1.2641,0.71672,0.32103,0.22634,0.0016967,0.012918,-4.5414e-4,0,0,0,0,-4.8353e-6,0.0038625,2,3.1416,81.097,0.05522,NaN,265.19,9.4999,1071.1,0.05,0.050444
16.941,11636,957.52,0.28675,968.08,0.33368,1328.1,0.83223,1328.1,0.035904,142.62,0.17064,28.61,-80.596,0.99741,0.041274,5.8009e-8,5.6e-4,6.71e-5,5.9351,0.3046,22.413,0.058584,56.642,41.451,7.5955,0.90507,26975271,130.29,96.065,1.2641,1.2641,0.71647,0.32115,0.22649,0.009095,0.068909,-2.4019e-4,0,0,0,0,2.3387e-8,0.0038645,2,3.1416,81.11,0.053118,NaN,265.1,9.4825,1070.9,0.05,0.050635
